frame, ROI found, ROI location, ROI size 
579,1,608_75 ,237_237 
580,1,616_79 ,239_239 
581,1,620_80 ,244_244 
582,1,626_87 ,252_252 
583,1,629_93 ,255_255 
584,1,635_100 ,251_251 
585,1,640_105 ,248_248 
586,1,643_110 ,249_249 
587,1,644_114 ,249_249 
588,1,642_119 ,247_247 
589,1,641_124 ,247_247 
590,1,638_131 ,244_244 
591,1,633_136 ,240_240 
592,1,628_139 ,232_232 
593,1,623_144 ,228_228 
594,1,613_145 ,226_226 
595,1,603_150 ,224_224 
596,1,595_152 ,218_218 
597,1,584_155 ,211_211 
598,1,572_159 ,205_205 
599,1,559_159 ,205_205 
600,1,543_158 ,207_207 
601,1,529_160 ,205_205 
602,1,515_164 ,195_195 
603,1,498_163 ,195_195 
604,1,481_165 ,196_196 
605,1,464_162 ,192_192 
606,1,446_165 ,193_193 
607,1,430_170 ,188_188 
608,1,414_171 ,179_179 
609,1,359_151 ,240_240 
610,1,352_157 ,225_225 
611,1,339_161 ,221_221 
612,1,325_165 ,214_214 
613,1,306_165 ,220_220 
614,1,291_166 ,219_219 
615,1,273_163 ,227_227 
616,1,258_165 ,230_230 
617,1,241_164 ,234_234 
618,1,228_168 ,235_235 
619,1,216_170 ,238_238 
620,1,207_173 ,239_239 
621,1,195_169 ,246_246 
622,1,186_165 ,253_253 
623,1,181_164 ,257_257 
624,1,183_171 ,253_253 
625,1,179_167 ,256_256 
626,1,194_173 ,247_247 
627,1,196_170 ,252_252 
628,1,198_165 ,255_255 
629,1,208_163 ,249_249 
630,1,222_166 ,242_242 
631,1,234_162 ,238_238 
632,1,248_160 ,235_235 
633,1,271_161 ,223_223 
634,1,292_158 ,222_222 
635,1,318_159 ,213_213 
636,1,335_153 ,215_215 
637,1,356_155 ,208_208 
638,1,366_128 ,260_260 
639,1,397_137 ,233_233 
640,1,429_142 ,218_218 
641,1,458_143 ,205_205 
642,1,462_119 ,262_262 
643,1,500_130 ,233_233 
644,1,530_137 ,221_221 
645,1,556_136 ,213_213 
646,1,562_114 ,270_270 
647,1,594_125 ,247_247 
648,1,621_130 ,234_234 
649,1,639_130 ,236_238 
650,1,663_135 ,231_231 
651,1,685_131 ,228_228 
652,1,711_138 ,220_220 
653,1,700_112 ,288_288 
654,1,714_120 ,278_278 
655,1,738_128 ,259_259 
656,1,749_129 ,259_259 
657,1,758_132 ,262_262 
658,1,770_130 ,259_259 
659,1,778_133 ,262_262 
660,1,778_134 ,264_264 
661,1,778_133 ,264_264 
662,1,782_137 ,265_265 
663,1,783_135 ,265_265 
664,1,785_141 ,258_258 
665,1,782_141 ,264_264 
666,1,779_142 ,263_263 
667,1,772_148 ,262_262 
668,1,765_149 ,258_258 
669,1,756_159 ,257_257 
670,1,753_162 ,252_252 
671,1,746_166 ,247_247 
672,1,735_173 ,243_243 
673,1,724_178 ,238_238 
674,1,717_183 ,238_238 
675,1,709_193 ,232_232 
676,1,700_204 ,228_228 
677,1,690_206 ,228_228 
678,1,681_211 ,226_226 
679,1,674_216 ,227_227 
680,1,669_221 ,222_222 
681,1,662_225 ,219_219 
682,1,657_224 ,213_213 
683,1,651_224 ,214_214 
684,1,645_222 ,214_214 
685,1,640_219 ,215_215 
686,1,635_217 ,214_214 
687,1,629_215 ,215_215 
688,1,624_212 ,215_215 
689,1,617_210 ,215_215 
690,1,611_206 ,217_217 
691,1,605_201 ,214_214 
692,1,598_194 ,217_217 
693,1,588_184 ,221_221 
694,1,578_175 ,222_222 
695,1,567_168 ,224_224 
696,1,554_157 ,231_231 
697,1,542_149 ,227_227 
698,1,529_137 ,236_236 
